Nombre,Hora
[HX28] CLUB.EST. A ARCO.,16:58:18
[TOP] A V. ELISA X CENTENARIO,16:59:06
[338] A SAN JUSTO (X PASCO),17:06:45
[F] X19 X CENTENARIO A GORINA,17:08:46
[G] X 19 X BELGRANO A.SEGUI,17:10:44
[A1] CEMENT. L.P. A 32 Y 120,17:18:44
[D] X CENTENARIO A SEGUI,17:23:18
[338] A SAN JUSTO (X RUTA 4),17:26:31
[B11] CEMENT. X BELG. A C BELL,17:32:45
[G] X 19 X BELGRANO A.SEGUI,17:35:44
[338] A VARELA (X CENTENARIO),17:36:30
[I] X CENTENARIO LOS PORTEÑOS,17:37:44
[D] X CENTENARIO A SEGUI,17:43:18
[TOP] A V. ELISA X CENTENARIO,17:44:06
[338] A MORON (X PASCO),17:47:45
[C] CEMENT. POR BELG. A GORINA,17:49:44
[G] X 19 X BELGRANO A.SEGUI,17:55:44
[418] A BERAZATEGUI,18:01:01
[D] X CENTENARIO A SEGUI,18:03:18
[A1] CEMENT. L.P. A 32 Y 120,18:03:44
[338] A SAN JUSTO (X RUTA 4),18:06:46
[I] X CENTENARIO LOS PORTEÑOS,18:07:44
[G] X 19 X BELGRANO A.SEGUI,18:15:44
[F] X19 X CENTENARIO A GORINA,18:16:46
[D] X CENTENARIO A SEGUI,18:23:18
[338] A SAN JUSTO (X PASCO),18:26:30
[TOP] A V. ELISA X CENTENARIO,18:34:06
[G] X 19 X BELGRANO A.SEGUI,18:35:44
[338] A VARELA (X CENTENARIO),18:36:30
[I] X CENTENARIO LOS PORTEÑOS,18:37:44
[D] X CENTENARIO A SEGUI,18:43:18
[BC] CEMENT. X BELG. A C BELL,18:43:45
[BG]CEMENT X BELG. A GUTIERREZ,18:51:45
[338] A MORON (X PASCO),18:52:30
[G] X 19 X BELGRANO A.SEGUI,18:55:44
[HX28] CLUB.EST. A ARCO.,18:58:18
[D] X CENTENARIO A SEGUI,19:03:18
[A1] CEMENT. L.P. A 32 Y 120,19:03:44
[338] A SAN JUSTO (X RUTA 4),19:06:46
[G] X 19 X BELGRANO A.SEGUI,19:15:44
[F] X19 X CENTENARIO A GORINA,19:15:46
[338] A VARELA (X CENTENARIO),19:16:30
[TOP] A V. ELISA X CENTENARIO,19:19:04
[D] X CENTENARIO A SEGUI,19:23:18
[338] A SAN JUSTO (X PASCO),19:26:30
[G] X 19 X BELGRANO A.SEGUI,19:35:44
[I] X CENTENARIO LOS PORTEÑOS,19:37:44
[D] X CENTENARIO A SEGUI,19:43:18
[C] CEMENT. POR BELG. A GORINA,19:43:44
[338] A MORON (X RUTA 4),19:43:45
[BC] CEMENT. X BELG. A C BELL,19:48:45
[418] A BERAZATEGUI,19:50:01
[G] X 19 X BELGRANO A.SEGUI,19:55:44
[TOP] A V. ELISA X CENTENARIO,20:00:04
[338] A SAN JUSTO (X PASCO),20:02:30
[D] X CENTENARIO A SEGUI,20:03:18
[F] X19 X CENTENARIO A GORINA,20:08:46
[338] A VARELA (X CENTENARIO),20:16:30
[G] X 19 X BELGRANO A.SEGUI,20:16:44
[A1] CEMENT. L.P. A 32 Y 120,20:18:44
[D] X CENTENARIO A SEGUI,20:23:18
[338] A MORON (X RUTA 4),20:23:45
[B11] CEMENT. X BELG. A C BELL,20:32:45
[G] X 19 X BELGRANO A.SEGUI,20:36:44
[I] X CENTENARIO LOS PORTEÑOS,20:38:44
[TOP] A V. ELISA X CENTENARIO,20:41:04
[C] CEMENT. POR BELG. A GORINA,20:41:44
[338] A SAN JUSTO (X PASCO),20:42:30
[D] X CENTENARIO A SEGUI,20:48:18
[BG]CEMENT X BELG. A GUTIERREZ,20:51:45
[HX28] CLUB.EST. A ARCO.,20:53:18
[338] A VARELA (X CENTENARIO),20:56:30
[338] A SAN JUSTO (X RUTA 4),21:02:31
[G] X 19 X BELGRANO A.SEGUI,21:06:44
[F] X19 X CENTENARIO A GORINA,21:18:46
[338] A MORON (X PASCO),21:22:30
[D] X CENTENARIO A SEGUI,21:23:18
[I] X CENTENARIO LOS PORTEÑOS,21:32:44
[G] X 19 X BELGRANO A.SEGUI,21:46:44
[338] A SAN JUSTO (X RUTA 4),21:47:31
[D] X CENTENARIO A SEGUI,21:55:18
[G] X 19 X BELGRANO A.SEGUI,22:11:44
[338] A SAN JUSTO (X PASCO),22:12:30
[338] A MORON (X PASCO),22:22:30
[BC] CEMENT. X BELG. A C BELL,22:23:45
[D] X CENTENARIO A SEGUI,22:38:18
[338] A SAN JUSTO (X RUTA 4),22:41:31
[G] X 19 X BELGRANO A.SEGUI,22:56:44
[338] A MORON (X PASCO),23:07:30
[D] X CENTENARIO A SEGUI,23:08:18
[338] A SAN JUSTO (X RUTA 4),23:21:31
[G] X 19 X BELGRANO A.SEGUI,23:36:44
[D] X CENTENARIO A SEGUI,23:58:18
