Nombre,Hora,Diferencia_Minutos
[A1] CEMENT. L.P. A 32 Y 120,12:33:19,0
[D] X CENTENARIO A SEGUI,12:36:09,3
[BG]CEMENT X BELG. A GUTIERREZ,12:37:09,1
[B11] CEMENT. X BELG. A C BELL,12:37:09,0
[G] X 19 X BELGRANO A.SEGUI,12:40:29,3
[CX1Y50] X BELG. A GORINA,12:40:40,0
[I] X CENTENARIO LOS PORTEÑOS,12:47:09,6
[5]- A BARRIO SAVOIA,12:52:33,5
[A1] CEMENT. L.P. A 32 Y 120,12:53:19,1
[BC] CEMENT. X BELG. A C BELL,12:54:09,1
[D] X CENTENARIO A SEGUI,12:54:09,0
[G] X BELGRANO X19 A SEGUI..,12:56:29,2
[F] X19 X CENTENARIO A GORINA,12:57:09,1
[C] CEMENT. POR BELG. A GORINA,13:01:19,4
[HX28] CLUB.EST. A ARCO.,13:02:09,1
[D] X CENTENARIO A SEGUI,13:12:09,10
[A1] CEMENT. L.P. A 32 Y 120,13:13:19,1
[G] X 19 X BELGRANO A.SEGUI,13:16:29,3
[BG]CEMENT X BELG. A GUTIERREZ,13:22:09,6
[B11] CEMENT. X BELG. A C BELL,13:25:09,3
[I] X CENTENARIO LOS PORTEÑOS,13:27:09,2
[D] X CENTENARIO A SEGUI,13:30:09,3
[C] CEMENT. POR BELG. A GORINA,13:31:19,1
[A1] CEMENT. L.P. A 32 Y 120,13:33:19,2
[HX28] CLUB.EST. A ARCO.,13:34:09,1
[G] X 19 X BELGRANO A.SEGUI,13:36:29,2
[D] X CENTENARIO A SEGUI,13:40:09,4
[D] X CENTENARIO A SEGUI,13:48:09,8
[C] CEMENT. POR BELG. A GORINA,13:51:19,3
[F] X19 X CENTENARIO A GORINA,13:52:09,1
[A1] CEMENT. L.P. A 32 Y 120,13:53:19,1
[BC] CEMENT. X BELG. A C BELL,13:55:09,2
[G] X BELGRANO X19 A SEGUI..,13:56:29,1
[I] X CENTENARIO LOS PORTEÑOS,14:03:09,7
[D] X CENTENARIO A SEGUI,14:06:09,3
[BG]CEMENT X BELG. A GUTIERREZ,14:07:09,1
[A1] CEMENT. L.P. A 32 Y 120,14:13:19,6
[G] X 19 X BELGRANO A.SEGUI,14:16:29,3
[F] X19 X CENTENARIO A GORINA,14:21:09,5
[C] CEMENT. POR BELG. A GORINA,14:23:19,2
[D] X CENTENARIO A SEGUI,14:24:09,1
[HX28] CLUB.EST. A ARCO.,14:25:09,1
[B11] CEMENT. X BELG. A C BELL,14:27:09,2
[A1] CEMENT. L.P. A 32 Y 120,14:31:19,4
[G] X BELGRANO X19 A SEGUI..,14:36:29,5
[CX1Y50] X BELG. A GORINA,14:41:40,5
[D] X CENTENARIO A SEGUI,14:42:09,0
[HX28] CLUB.EST. A ARCO.,14:45:09,3
[BG]CEMENT X BELG. A GUTIERREZ,14:47:09,2
[I-AGRARIA] X LOMAS A RUTA 36,14:49:29,2
[A1] CEMENT. L.P. A 32 Y 120,14:53:19,4
[BC] CEMENT. X BELG. A C BELL,14:55:09,2
[G] X 19 X BELGRANO A.SEGUI,14:56:29,1
[F] X19 X CENTENARIO A GORINA,14:57:09,1
[5]- A BARRIO SAVOIA,14:57:33,0
[D] X CENTENARIO A SEGUI,15:04:09,7
[A1] CEMENT. L.P. A 32 Y 120,15:09:19,5
[I] X CENTENARIO LOS PORTEÑOS,15:15:09,6
[D] X CENTENARIO A SEGUI,15:18:09,3
[C] CEMENT. POR BELG. A GORINA,15:18:19,0
[HX28] CLUB.EST. A ARCO.,15:22:09,4
[B11] CEMENT. X BELG. A C BELL,15:25:09,3
[G] X BELGRANO X19 A SEGUI..,15:26:29,1
[BG]CEMENT X BELG. A GUTIERREZ,15:32:09,6
[F] X19 X CENTENARIO A GORINA,15:36:09,4
[D] X CENTENARIO A SEGUI,15:40:09,4
[I] X CENTENARIO LOS PORTEÑOS,15:42:09,2
[A1] CEMENT. L.P. A 32 Y 120,15:43:19,1
[HX28] CLUB.EST. A ARCO.,15:51:09,8
[C] CEMENT. POR BELG. A GORINA,15:51:19,0
[D] X CENTENARIO A SEGUI,15:52:09,1
[BC] CEMENT. X BELG. A C BELL,15:55:09,3
[G] X 19 X BELGRANO A.SEGUI,15:56:29,1
[A1] CEMENT. L.P. A 32 Y 120,15:57:19,1
[I] X CENTENARIO LOS PORTEÑOS,16:02:09,5
[HX28] CLUB.EST. A ARCO.,16:07:09,5
[D] X CENTENARIO A SEGUI,16:08:09,1
[F] X19 X CENTENARIO A GORINA,16:10:09,2
[C] CEMENT. POR BELG. A GORINA,16:16:19,6
[BG]CEMENT X BELG. A GUTIERREZ,16:17:09,1
[D] X CENTENARIO A SEGUI,16:24:09,7
[B11] CEMENT. X BELG. A C BELL,16:25:09,1
[G] X 19 X BELGRANO A.SEGUI,16:26:29,1
[I] X CENTENARIO LOS PORTEÑOS,16:31:09,5
[A1] CEMENT. L.P. A 32 Y 120,16:31:19,0
[I-AGRARIA] X LOMAS A RUTA 36,16:39:29,8
[D] X CENTENARIO A SEGUI,16:40:09,1
[BG]CEMENT X BELG. A GUTIERREZ,16:47:09,7
[5]- A BARRIO SAVOIA,16:47:33,0
[F] X19 X CENTENARIO A GORINA,16:48:09,1
[CX1Y50] X BELG. A GORINA,16:50:40,3
[G] X BELGRANO X19 A SEGUI..,16:52:29,2
[HX28] CLUB.EST. A ARCO.,16:56:09,4
[D] X CENTENARIO A SEGUI,16:58:09,2
[A1] CEMENT. L.P. A 32 Y 120,16:59:19,1
[G] X 19 X BELGRANO A.SEGUI,17:07:29,8
[F] X19 X CENTENARIO A GORINA,17:12:09,5
[D] X CENTENARIO A SEGUI,17:16:09,4
[BG]CEMENT X BELG. A GUTIERREZ,17:17:09,1
[B11] CEMENT. X BELG. A C BELL,17:17:09,0
[G] X 19 X BELGRANO A.SEGUI,17:17:29,0
[I] X CENTENARIO LOS PORTEÑOS,17:18:09,1
[A1] CEMENT. L.P. A 32 Y 120,17:18:19,0
[G] X 19 X BELGRANO A.SEGUI,17:26:29,8
[C] CEMENT. POR BELG. A GORINA,17:29:19,3
[HX28] CLUB.EST. A ARCO.,17:32:09,3
[D] X CENTENARIO A SEGUI,17:34:09,2
[C] CEMENT. POR BELG. A GORINA,17:41:19,7
[F] X19 X CENTENARIO A GORINA,17:42:09,1
[A1] CEMENT. L.P. A 32 Y 120,17:43:19,1
[BG]CEMENT X BELG. A GUTIERREZ,17:47:09,4
[D] X CENTENARIO A SEGUI,17:48:09,1
[G] X BELGRANO X19 A SEGUI..,17:52:29,4
[I] X CENTENARIO LOS PORTEÑOS,17:54:09,2
[BC] CEMENT. X BELG. A C BELL,17:55:09,1
[D] X CENTENARIO A SEGUI,17:58:09,3
[F] X19 X CENTENARIO A GORINA,18:02:09,4
[HX28] CLUB.EST. A ARCO.,18:05:09,3
[A1] CEMENT. L.P. A 32 Y 120,18:08:19,3
[D] X CENTENARIO A SEGUI,18:14:09,6
[C] CEMENT. POR BELG. A GORINA,18:18:19,4
[F] X19 X CENTENARIO A GORINA,18:22:09,4
[B11] CEMENT. X BELG. A C BELL,18:25:09,3
[G] X 19 X BELGRANO A.SEGUI,18:26:29,1
[D] X CENTENARIO A SEGUI,18:30:09,4
[A1] CEMENT. L.P. A 32 Y 120,18:36:19,6
[BG]CEMENT X BELG. A GUTIERREZ,18:37:09,1
[HX28] CLUB.EST. A ARCO.,18:37:09,0
[F] X19 X CENTENARIO A GORINA,18:42:09,5
[5]- A BARRIO SAVOIA,18:47:33,5
[I] X CENTENARIO LOS PORTEÑOS,18:49:09,2
[BC] CEMENT. X BELG. A C BELL,18:50:09,1
[D] X CENTENARIO A SEGUI,18:50:09,0
[CX1Y50] X BELG. A GORINA,18:55:40,6
[G] X 19 X BELGRANO A.SEGUI,18:56:29,1
[A1] CEMENT. L.P. A 32 Y 120,18:58:19,2
[D] X CENTENARIO A SEGUI,19:10:09,12
[G] X BELGRANO X19 A SEGUI..,19:12:29,2
[F] X19 X CENTENARIO A GORINA,19:22:09,10
[B11] CEMENT. X BELG. A C BELL,19:25:09,3
[G] X 19 X BELGRANO A.SEGUI,19:26:29,1
[BG]CEMENT X BELG. A GUTIERREZ,19:27:09,1
[A1] CEMENT. L.P. A 32 Y 120,19:28:19,1
[D] X CENTENARIO A SEGUI,19:30:09,2
[C] CEMENT. POR BELG. A GORINA,19:30:19,0
[HX28] CLUB.EST. A ARCO.,19:34:09,4
[I] X CENTENARIO LOS PORTEÑOS,19:44:09,10
[BC] CEMENT. X BELG. A C BELL,19:46:09,2
[C] CEMENT. POR BELG. A GORINA,19:48:19,2
[A1] CEMENT. L.P. A 32 Y 120,19:49:19,1
[D] X CENTENARIO A SEGUI,19:50:09,1
[G] X 19 X BELGRANO A.SEGUI,19:56:29,6
[HX28] CLUB.EST. A ARCO.,19:58:09,2
[B11] CEMENT. X BELG. A C BELL,20:02:09,4
[D] X CENTENARIO A SEGUI,20:10:09,8
[C] CEMENT. POR BELG. A GORINA,20:11:19,1
[BG]CEMENT X BELG. A GUTIERREZ,20:17:09,6
[F] X19 X CENTENARIO A GORINA,20:21:09,4
[A1] CEMENT. L.P. A 32 Y 120,20:21:19,0
[HX28] CLUB.EST. A ARCO.,20:25:09,4
[G] X 19 X BELGRANO A.SEGUI,20:26:29,1
[BC] CEMENT. X BELG. A C BELL,20:34:09,8
[I] X CENTENARIO LOS PORTEÑOS,20:38:29,4
[D] X CENTENARIO A SEGUI,20:39:29,1
[C] CEMENT. POR BELG. A GORINA,20:41:29,2
[B11] CEMENT. X BELG. A C BELL,20:45:29,4
[A1] CEMENT. L.P. A 32 Y 120,20:49:29,4
[G] X 19 X BELGRANO A.SEGUI,20:54:29,5
[BG]CEMENT X BELG. A GUTIERREZ,21:03:29,9
[F] X19 X CENTENARIO A GORINA,21:04:29,1
[D] X CENTENARIO A SEGUI,21:06:29,2
[HX28] CLUB.EST. A ARCO.,21:08:29,2
[A1] CEMENT. L.P. A 32 Y 120,21:16:29,8
[BC] CEMENT. X BELG. A C BELL,21:28:29,12
[D] X CENTENARIO A SEGUI,21:33:29,5
[G] X 19 X BELGRANO A.SEGUI,21:38:29,5
[I] X CENTENARIO LOS PORTEÑOS,21:43:29,5
[C] CEMENT. POR BELG. A GORINA,21:48:29,5
[A1] CEMENT. L.P. A 32 Y 120,22:03:29,15
[D] X CENTENARIO A SEGUI,22:03:29,0
[BC] CEMENT. X BELG. A C BELL,22:18:29,15
[F] X19 X CENTENARIO A GORINA,22:28:29,10
[D] X CENTENARIO A SEGUI,22:43:29,15
[G] X 19 X BELGRANO A.SEGUI,22:48:29,5
[D] X CENTENARIO A SEGUI,23:13:29,25
[G] X 19 X BELGRANO A.SEGUI,23:34:29,21
