latitud,longitud,identificador
-34.878845,-58.065740,LP0793
-34.880148,-58.059973,LP0797
-34.880782,-58.057613,LP0799
-34.850836,-58.089587,LP10860
-34.850277,-58.091709,LP10862
-34.849912,-58.093621,LP10864
-34.944224,-57.946536,LP11701
-34.946036,-57.948628,LP11702
-34.839539,-58.188140,LP1816
-34.827338,-58.181437,LP18500
-34.829465,-58.183390,LP18502
-34.832312,-58.184725,LP18504
-34.834421,-58.182242,LP18508
-34.835156,-58.183524,LP18510
-34.834672,-58.185871,LP18512
-34.836778,-58.186863,LP18514
-34.948050,-57.950714,LP1945
-34.879236,-58.050212,LP10163
-34.933767,-57.943012,LP10280
-34.934664,-57.944042,LP10282
-34.935702,-57.945051,LP10284
-34.936581,-57.946231,LP10286
-34.932667,-57.941992,LP1671
-34.936867,-57.946422,LP1679
-34.938898,-57.944549,LP2788
-34.940746,-57.942282,LP2790
-34.948410,-57.945950,LP2807
-34.873949,-58.046455,LP10127
-34.878397,-58.049663,LP10154
-34.880158,-58.050921,LP10172
-34.872288,-58.045305,LP10739
-34.870382,-58.043904,LP11558
-34.868494,-58.042584,LP11559
-34.876571,-58.048472,LP11567
-34.874850,-58.047152,LP11568
-34.933206,-57.942683,LP10281
-34.934068,-57.943703,LP10283
-34.935027,-57.944657,LP10285
-34.935898,-57.945655,LP10287
-34.937553,-57.947887,LP11072
-34.938885,-57.944878,LP2787
-34.940561,-57.942838,LP2789
-34.947672,-57.946315,LP2806
-34.868001,-58.048235,LP10529
-34.872472,-58.051432,LP10531
-34.874281,-58.052730,LP10534
-34.876055,-58.053997,LP10536
-34.877884,-58.055275,LP10539
-34.866799,-58.045689,LP10584
-34.868904,-58.048867,LP10586
-34.869775,-58.049528,LP10588
-34.870691,-58.050165,LP10590
-34.880648,-58.057223,LP10593
-34.866266,-58.043015,LP10951
-34.866938,-58.048292,LP11598
-34.864703,-58.045406,LP10879
-34.868210,-58.048178,LP10530
-34.872703,-58.051333,LP10532
-34.874499,-58.052695,LP10535
-34.876281,-58.053950,LP10537
-34.878075,-58.055220,LP10538
-34.866482,-58.046896,LP10585
