Nombre,Hora,Diferencia_Minutos
[BC] CEMENT. X BELG. A C BELL,22:23:45,12
[D] X CENTENARIO A SEGUI,22:38:18,15
[G] X 19 X BELGRANO A.SEGUI,22:56:44,18
[D] X CENTENARIO A SEGUI,23:08:18,12
[G] X 19 X BELGRANO A.SEGUI,23:36:44,28
[D] X CENTENARIO A SEGUI,23:58:18,22
[TOP] A V. ELISA X CENTENARIO,07:34:06,454
[TOP] A V. ELISA X CENTENARIO,08:19:06,45
[TOP] A V. ELISA X CENTENARIO,09:09:06,50
[TOP] A V. ELISA X CENTENARIO,09:54:06,45
[TOP] A V. ELISA X CENTENARIO,10:44:06,50
[TOP] A V. ELISA X CENTENARIO,11:29:06,45
[TOP] A V. ELISA X CENTENARIO,12:19:06,50
[TOP] A V. ELISA X CENTENARIO,13:04:06,45
[TOP] A V. ELISA X CENTENARIO,13:57:06,53
[TOP] A V. ELISA X CENTENARIO,14:42:06,45
[TOP] A V. ELISA X CENTENARIO,15:24:06,42
[TOP] A V. ELISA X CENTENARIO,16:09:06,45
[TOP] A V. ELISA X CENTENARIO,16:59:06,50
[TOP] A V. ELISA X CENTENARIO,17:44:06,45
[TOP] A V. ELISA X CENTENARIO,18:34:06,50
[TOP] A V. ELISA X CENTENARIO,19:19:04,45
[TOP] A V. ELISA X CENTENARIO,20:00:04,41
[TOP] A V. ELISA X CENTENARIO,20:41:04,41
