Nombre,Hora,Diferencia_Minutos
[BG]CEMENT X BELG. A GUTIERREZ,09:43:45,1
[D] X CENTENARIO A SEGUI,09:48:44,5
[BC] CEMENT. X BELG. A C BELL,09:51:45,3
[HX28] CLUB.EST. A ARCO.,09:53:44,2
[C] CEMENT. POR BELG. A GORINA,09:55:44,2
[I] X CENTENARIO LOS PORTEÑOS,09:57:44,2
[A1] CEMENT. L.P. A 32 Y 120,10:00:44,3
[G] X 19 X BELGRANO A.SEGUI,10:02:18,2
[D] X CENTENARIO A SEGUI,10:06:44,4
[HX28] CLUB.EST. A ARCO.,10:13:44,7
[F] X19 X CENTENARIO A GORINA,10:15:47,2
[A1] CEMENT. L.P. A 32 Y 120,10:20:44,5
[B11] CEMENT. X BELG. A C BELL,10:21:45,1
[G] X 19 X BELGRANO A.SEGUI,10:22:18,1
[D] X CENTENARIO A SEGUI,10:24:44,2
[BG]CEMENT X BELG. A GUTIERREZ,10:28:45,4
[I] X CENTENARIO LOS PORTEÑOS,10:33:44,5
[BC] CEMENT. X BELG. A C BELL,10:35:45,2
[A1] CEMENT. L.P. A 32 Y 120,10:40:44,5
[C] CEMENT. POR BELG. A GORINA,10:41:44,1
[G] X BELGRANO X19 A SEGUI..,10:42:18,1
[D] X CENTENARIO A SEGUI,10:42:44,0
[B11] CEMENT. X BELG. A C BELL,10:48:45,6
[HX28] CLUB.EST. A ARCO.,10:50:44,2
[F] X19 X CENTENARIO A GORINA,10:51:47,1
[5]- A BARRIO SAVOIA,10:53:08,1
[D] X CENTENARIO A SEGUI,11:00:44,8
[A1] CEMENT. L.P. A 32 Y 120,11:00:44,0
[CX1Y50] X BELG. A GORINA,11:02:17,2
[G] X 19 X BELGRANO A.SEGUI,11:02:18,0
[BC] CEMENT. X BELG. A C BELL,11:02:45,0
[I] X CENTENARIO LOS PORTEÑOS,11:07:44,5
[C] CEMENT. POR BELG. A GORINA,11:08:44,1
[BG]CEMENT X BELG. A GUTIERREZ,11:13:45,5
[D] X CENTENARIO A SEGUI,11:18:44,5
[A1] CEMENT. L.P. A 32 Y 120,11:20:44,2
[B11] CEMENT. X BELG. A C BELL,11:21:45,1
[G] X BELGRANO X19 A SEGUI..,11:22:18,1
[F] X19 X CENTENARIO A GORINA,11:27:47,5
[HX28] CLUB.EST. A ARCO.,11:28:44,1
[C] CEMENT. POR BELG. A GORINA,11:30:44,2
[D] X CENTENARIO A SEGUI,11:36:44,6
[A1] CEMENT. L.P. A 32 Y 120,11:40:44,4
[BC] CEMENT. X BELG. A C BELL,11:41:45,1
[G] X 19 X BELGRANO A.SEGUI,11:42:18,1
[F] X19 X CENTENARIO A GORINA,11:43:47,1
[I] X CENTENARIO LOS PORTEÑOS,11:45:44,2
[C] CEMENT. POR BELG. A GORINA,11:46:44,1
[D] X CENTENARIO A SEGUI,11:52:44,6
[B11] CEMENT. X BELG. A C BELL,11:56:45,4
[BG]CEMENT X BELG. A GUTIERREZ,11:58:45,2
[A1] CEMENT. L.P. A 32 Y 120,12:00:44,2
[G] X BELGRANO X19 A SEGUI..,12:02:18,2
[F] X19 X CENTENARIO A GORINA,12:03:47,1
[I-AGRARIA] X LOMAS A RUTA 36,12:06:18,3
[D] X CENTENARIO A SEGUI,12:08:44,2
